Track Title,Track URL
Saijaku no Bahamut (Best OST 2),http://soundcloud.com/koishi-komeiji-538754590/saijaku-no-bahamut-best-ost-2
Doubt & Trust - Opening 3 D.Grayman,http://soundcloud.com/animecanic/doubt-trust-opening-3-d
Hai To Gensou No Grimgar Battle Theme Cover,http://soundcloud.com/sunseirofx/hai-to-gensou-no-grimgar-battle-theme-cover
Buddy Complex OST - Disk 2 - 28. Coupling Sequence,http://soundcloud.com/loop_stratos/buddy-complex-ost-disk-2-28-coupling-sequence
Ao no Exorcist: The Movie OST - Kekkai,http://soundcloud.com/akise-6/ao-no-exorcist-the-movie-ost-kekkai
Sword Art Online - Survive The Swordland,http://soundcloud.com/nightcorex-746935867/sword-art-online-survive-the-swordland
Reikenzan Hoshikuzu - Tachi No Utage Ending - Kizuna,http://soundcloud.com/sofamaniac/reikenzan-hoshikuzu-tachi-no-utage-ending-kizuna
AL℃ - @ Ft. Cyua,http://soundcloud.com/legolapse/al-ft-cyua
TEARS Of The DRAGON,http://soundcloud.com/maximillion-galactica-14/tears-of-the-dragon
Fairy Tail 2014 OST 2 - 60  - Fairy Tail Main Theme 2016,http://soundcloud.com/fairy-tail-2014-ost/fairy-tail-2014-ost-2-60-fairy-tail-main-theme-2016
BRAVE THE OCEAN ＜MODv＞,http://soundcloud.com/014-rathlion/brave-the-ocean-modv
Blood blockade battlefront theme song,http://soundcloud.com/connor-taylor-746936237/blood-blockade-battlefront-theme-song
Hiroyuki Sawano - DOA,http://soundcloud.com/misaka-kaze-bombz/hiroyuki-sawano-doa
OMAKE-SUITE Wild War Dance,http://soundcloud.com/max-galactica/omake-suite-wild-war-dance
6thMob.: UNICORN GUNDAM,http://soundcloud.com/yz-ben/6thmob-unicorn-gundam
Steins;Gate 0 (ED / Ending FULL) - [LAST GAME / Zwei],http://soundcloud.com/battleship_yamashiro/last-game-0
Durarara!!x2 ketsu,http://soundcloud.com/eren-sassyass-yeager/durararax2-ketsu
Blood Lad Opening Full Op!,http://soundcloud.com/yoshi-hiraoka/blood-lad-opening-full-op
Fairy Tail - Jellal's Theme,http://soundcloud.com/user-427576892/fairy-tail-jellals-theme
Erza vs Erza,http://soundcloud.com/sonchestra-1/erza-vs-erza
Made in Abyss OST - Hanezeve Caradhina (ft.Takeshi Saito),http://soundcloud.com/zichen-fan/made-in-abyss-ost-hanezeve-caradhina-fttakeshi-saito
Shoujo Shuumatsu Ryokou ED 2  -  Amadare No Uta (雨だれの歌),http://soundcloud.com/user194196938/shoujo-shuumatsu-ryokou-ed-2-amadare-no-uta
25 Champion of Magic,http://soundcloud.com/zacsky_92/25-champion-of-magic
Fairy Tail - Blue Pegasus Theme,http://soundcloud.com/alice-ni-tm/fairy-tail-blue-pegasus-theme
Rakudai kishi no cavalry OST let's go ahead,http://soundcloud.com/nicolas-secchi-909418127/rakudai-kishi-no-cavalry-ost-lets-go-ahead
aldnoah0rch-&z,http://soundcloud.com/zendenith-rathlion/aldnoahorch-z
Re:Creators (Soundtrack) [Hiroyuki Sawano ft. Aimee Blackschleger - Layers],http://soundcloud.com/user-715096454/recreators-sound23232track-hiroyuki-sawano-ft-aimee-blackschleger-layers
Shingeki no kyojin season 2 (op) - Shinzou wo Sasageyo - official full version,http://soundcloud.com/eliakikaze/attack-on-titan-shinzou-wo-sasageyo-official-full-version
Seiken Tsukai No World Break Opening 聖剣使いの禁呪詠唱 OP緋ノ糸輪廻ノGE,http://soundcloud.com/shironekochan/seiken-tsukai-no-world-break-opening-opge
Utawarerumono: Itsuwari no Kamen OP 1 FULL SONG,http://soundcloud.com/khader-268814300/utawarerumono-itsuwari-no-kamen-op-1-full-song
Kuchizuke Diamond,http://soundcloud.com/kim-266/kuchizuke-diamond
Shokugeki No Souma OST #30 - Food Battle Start! 食戟開戦!,http://soundcloud.com/doflamingoh/shokugeki-no-souma-ost-30-food-battle-start
Owari no seraph - Sawano Hiroyuki 108,http://soundcloud.com/dmitry-genglik/owari-no-seraph-sawano-hiroyuki-108
U & Cloud ＜simpledess＞,http://soundcloud.com/max-galactica/u-cloud-simpledess
UNICORN by Hiroyuki Sawano,http://soundcloud.com/achmad-husnul-qowim/unicorn-by-hiroyuki-sawano
No Differences In Aldnoah Zero OST,http://soundcloud.com/devilgun009/no-differences-in-aldnoah-zero-ost
Keep On Keeping On Aldnoah Zero Insert Song - Hiroyuki Sawano Mizuki,http://soundcloud.com/user-751707659/keep-on-keeping-on-aldnoah-zero-insert-song-hiroyuki-sawano-mizuki
"""βίος/Bios"" Guilty Crown OST Orchestral Cover by 【Mike Reed IX】",http://soundcloud.com/mikereedix/bios-guilty-crown-ost-orchestral-cover-by-mike-reed-ix
Original #1. Unlimited Blade Works - Fate/ Stay Night (UBW) |OST 2015,http://soundcloud.com/friiki-alonofenyorim/1-unlimited-blade-works-fate-stay-night-ost
Most Epic Battle Anime Ost- WarCry Kabaneri of the Iron Fortress,http://soundcloud.com/vxbotrsxryrk/most-epic-battle-anime-ost-warcry-kabaneri-of-the-iron-fortress
Gundam Seed ED4 - Akatsuki no Kuruma [FictionJunction Yuuka],http://soundcloud.com/minmichyo/gundam-seed-ed4-akatsuki-no
Code Geass- Lelouch Of The Rebellion R1 - Opening 3 - Hitomi No Tsubasa,http://soundcloud.com/alucard-932655067/code-geass-lelouch-of-the
Secret Sky (Opening Rokka No Yuusha),http://soundcloud.com/alex-064/secret-sky-opening-rokka-no-yuusha
Neutron Star (original music - kurzgesagt science videos),http://soundcloud.com/epicmountain/neutron-star-original-music-kurzgesagt-science-videos
Utsukushiki Zankoku na Sekai,http://soundcloud.com/melong-1/utsukushiki-zankoku-na-sekai
